id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
436,頭烏線,頭烏線,Schoeniparus brunneus,species,NA,NA,B0363,565,breed
437,鴛鴦,鴛鴦,Aix galericulata,species,NA,NA,B0068,16,breed
438,鴛鴦(馴化),鴛鴦(馴化),Aix galericulata (Domestic type),species,NA,NA,NA,834,domestic
439,戴勝,戴勝,Upupa epops,species,NA,NA,B0314,377,nonbreeding
440,環頸雉,環頸雉,Phasianus colchicus,species,NA,NA,B0151,49,breed
441,環頸鴴,環頸鴴,Charadrius hiaticula,species,NA,NA,B0181,197,nonbreeding
442,磯鷸,磯鷸,Actitis hypoleucos,species,NA,NA,B0221,207,nonbreeding
443,鴻雁,鴻雁,Anser cygnoides,species,NA,NA,B0082,3,nonbreeding
444,鵂鶹,鵂鶹,Glaucidium brodiei,species,NA,NA,B0293,344,breed
445,繡眼畫眉,繡眼畫眉,Alcippe morrisonia,species,NA,NA,B0365,567,breed
446,翻石鷸,翻石鷸,Arenaria interpres,species,NA,NA,B0189,224,nonbreeding
447,藍尾鴝,藍尾鴝,Tarsiger cyanurus,species,NA,NA,B0403,607,nonbreeding
448,藍腹鷴,藍腹鷴,Lophura swinhoii,species,NA,NA,B0150,50,breed
449,藍磯鶇,藍磯鶇,Monticola solitarius,species,NA,NA,B0394,625,breed
450,雜頭翁,雜頭翁,Pycnonotus taivanus x sinensis,speciesHybrid,NA,NA,B0382_hybrid,835,breed
451,雞,雞,Gallus gallus (Domestic type),species,NA,NA,NA,833,domestic
452,雞(圈養),雞,Gallus gallus (Domestic type),species,NA,NA,NA,833,domestic
453,鵝,家鵝(馴化),Anser sp. (Domestic type),genus,NA,NA,NA,779,domestic
454,鵟,東方鵟,Buteo japonicus,species,NA,NA,B0119,159,nonbreeding
455,藪鳥,黃胸藪眉,Liocichla steerii,species,NA,NA,B0371,576,breed
456,鵲鴝,鵲鴝,Copsychus saularis,species,NA,NA,B0388,585,breedKM
457,蘭嶼角鴞,蘭嶼角鴞,Otus elegans,species,NA,NA,B0298,341,breedLY
458,鐵嘴鴴,鐵嘴鴴,Charadrius leschenaultii,species,NA,NA,B0182,195,nonbreeding
459,鶴鷸,鶴鷸,Tringa erythropus,species,NA,NA,B0218,211,nonbreeding
460,彎嘴濱鷸,彎嘴濱鷸,Calidris ferruginea,species,NA,NA,B0193,231,nonbreeding
461,鱗胸鷦鷯,臺灣鷦眉,Pnoepyga formosana,species,NA,NA,B0372,487,breed
462,鷦鷯,鷦鷯,Troglodytes troglodytes,species,NA,NA,B0386,472,breed
463,鷹斑鷸,鷹斑鷸,Tringa glareola,species,NA,NA,B0219,216,nonbreeding
464,鷹鵑,鷹鵑,Hierococcyx sparverioides,species,NA,NA,B0287,329,breed
465,鸕鷀,鸕鷀,Phalacrocorax carbo,species,NA,NA,B0032,97,nonbreeding
466,朱頸斑鳩,珠頸斑鳩,Streptopelia chinensis,species,key_in_error,名錄對照_大肚溪.xlsx(20170927),B0273,312,breed
467,錦鸲,棕扇尾鶯,Cisticola juncidis,species,NA,名錄對照_大肚溪.xlsx(20170928),B0430,542,breed
468,斑鳩,鳩鴿科,Columbidae,family,NA,名錄對照_大肚溪.xlsx(20170929),NA,305,NA
469,白赤黑燕鷗,白翅黑燕鷗,Chlidonias leucopterus,species,NA,名錄對照_大肚溪.xlsx(20170930),B0258,296,nonbreeding
470,禾犀鷸,紅胸濱鷸,Calidris ruficollis,species,NA,名錄對照_大肚溪.xlsx(20170931),B0195,235,nonbreeding
471,濱鷸,黑腹濱鷸,Calidris alpina,species,NA,名錄對照_大肚溪.xlsx(20170932),B0191,237,nonbreeding
